source	target
Brønn 16/2-7 A bekreftet dette, og påtraff en 17 meter oljekolonne i meget godt reservoar i Draupneformasjonen.	Well 16/2-7 A confirmed this, and encountered a 17-metre oil column in a very good reservoir in the Draupne formation.
OD sin IOR-pris vart tildelt første gong i 1998.	The NPD’s IOR award was presented for the first time in 1998.
Rettshavarane har foreslått Grieg som nytt namn på ”Luno”.	The licensees have proposed Grieg as the new name for “Luno”.
Boreprogrammet for brønn 6507/5-7 gjeld boring av undersøkingsbrønn i utvinningsløyve 558.	The drilling programme for well 6507/5-7 relates to drilling of a wildcat well in production licence 558.
For gode diskusjoner og deling av kunnskap og erfaringer motiverer og gjør folk bevisste – noe som igjen påvirker den jobben de gjør.	Because good discussions and sharing of knowledge and experience motivate people and make them more aware – which in turn affects the jobs they do.
Brønnen ble boret til et vertikalt dyp av 2957 meter under havflaten, og ble avsluttet i Åreformasjonen i nedre jura.	The well was drilled to a vertical depth of 2957 metres below the sea surface, and was terminated in the Åre formation in the Lower Jurassic.
7220/7-1 (Havis)	7220/7-1 (Havis)
«Temaene er ofte veldig spesifikke og kan være rimelig smale.	“The topics are often very specific and can be fairly narrow.
Rettighetshaverne vurderer å knytte funnet opp til eksisterende infrastruktur i Gullfaksområdet.	The licensees are considering tie-in of the discovery to existing infrastructure in the Gullfaks area.
Det ble påtruffet bergarter med betydelig mektighet og tilfredsstillende reservoarkvalitet i Tiljeformasjonen fra tidligjura.	Rocks of considerable thickness and satisfactory reservoir quality were encountered in the Tilje formation from the Early Jurassic.
Les mer om seminaret >>	Read more about the seminar >>
Brønn 31/1-1 ble boret av Bredford Dolphin som nå skal til utvinningstillatelse 001B i Nordsjøen for å bore undersøkelsesbrønn 16/1-9 der Noil Energy ASA er operatør.	Well 31/1-1 was drilled by Bredford Dolphin, which will now proceed to production licence 001B in the North Sea area to drill wildcat well 16/1-9, where Noil Energy ASA is the operator.
Det OD-finansierte følgeforskningsprosjektet som gjennomføres av havforskningsinstituttet i Vesterålen, fortsetter også etter at den seismiske datainnsamlingen er ferdig.	The NPD-funded consequential research project in Vesterålen, conducted by the Norwegian Institute of Maritime Research, will continue after the completion of seismic data acquisition.
Dei andre rettshavarane er ExxonMobil (9,80 prosent), Eni Norge (29,40 prosent) og Petoro (19,95 prosent).	The other licensees are ExxonMobil (9.80 per cent), Eni Norge (29.40 per cent) and Petoro (19.95 per cent).
En oljenasjon blir født Etter at Ekofisk ble funnet, økte interessen for petroleum blant politikerne betydelig.	Interest The discovery of Ekofisk led to a substantial boost in petroleum interest among politicians.
Brønnen ble boret til et vertikalt dyp av 3090 meter under havoverflaten, og ble avsluttet i Skagerrakformasjonen i øvre trias.	The well was drilled to a vertical depth of 3090 m below the sea surface, and was concluded in the Skagerrak formation in the Upper Triassic.
Dette vert den 18. brønnen som vert bora innafor løyvet sitt areal.	This is the 18th well to be drilled within the licence area.
Frist for å foreslå kandidater er 15. mars 2011.	The deadline for nominating candidates is 15 March 2011.
Havdypet var 72 meter.	The water depth was 72 metres.
Det vil i tillegg øke forståelsen av Mørebassenget som leteareal for framtidig petroleumsvirksomhet, opplyser Sandstå.	It will also increase understanding of the Møre basin as exploration acreage for future petroleum activities,” says Sandstå.
Boreprogrammet for brønn 3/7-10 S gjeld boring av ein undersøkingsbrønn i utvinningsløyve 539.	The drilling programme for well 3/7-10 S relates to the drilling of a wildcat well in production licence 539.
Utvinningsløyve 435 vart delt ut i TFO 2006 (16.februar 2007).	Production licence 435 was awarded in APA 2006 (16 February 2007).
Brønnbane 15/9-24 skal borast frå boreinnretninga Bredford Dolphin i posisjon 58° 16’ 27.5” nord 1° 58’ 55.9” aust etter avslutting av boring av undersøkingsbrønn 15/12-22 for Det norske oljeselskap ASA (Det norske) i utvinningsløyve 337.	Wellbore 15/9-24 will be drilled from the Bredford Dolphin drilling facility at position 58° 16’ 27.5” north 1° 58’ 55.9” east after the facility completes the drilling of wildcat well 15/12-22 for Det norske oljeselskap ASA (Det norske) in production licence 337.
Statoil Petroleum AS	Statoil Petroleum AS
Brønnen er boret på 1260 meters vanndyp, omlag 130 km vest for Ormen Lange.	The well was drilled at a water depth of 1260 meters, approximately 130 km west of Ormen Lange.
Brønn 7220/11-3 påtraff en 75 meter gasskolonne og øvre del av en oljekolonne i karbonatbergarter i Gipsdalengruppen, med god til svært god reservoarkvalitet.	Well 7220/11-3 encountered a 75-metre thick gas column and the upper part of an oil column in carbonates in the Gipsdalen group of good to very good reservoir quality.
Plan for utbygging og drift (PUD) for Ivar Aasen-feltet ble levert til Olje- og energidepartementet 21. desember 2012.	The Plan for Development and Operation (PDO) of the Ivar Aasen field was submitted to the Ministry of Petroleum and Energy on 21 December 2012.
I løpet av våren skal riggen demobiliseres og klargjøres for boring av utvinningsbrønner på Gudrunfeltet der Statoil Petroleum AS er operatør.	Over the course of the spring, the rig will be demobilised and prepared for drilling development wells at the Gudrun field where Statoil Petroleum AS is the operator.
Havdypet er 429 meter.	The water depth is 429 meters.
Hensikten med brønn 6407/1-5 S var å avgrense funnet 6406/3-8 mot nord.	The purpose of well 6407/1-5 S was to delineate discovery 6406/3-8 to the north.
Materiale herfra er derfor vitenskapelig interessant.	Material from this area is therefore scientifically interesting.
Fakling ut over det som av sikkerhetsmessige årsaker er nødvendig, er normalt ikke tillatt i Norge.	Flaring in excess of what is required for safety purposes is normally not permitted in Norway.
Brønnen er den første letebrønnen i utvinningstillatelse 492.	The well is the first exploration well in production licence 492.
Avgrensningsbrønnen viser at størrelsen på funnet trolig er innenfor usikkerhetsspennet 3 – 5 millioner Sm3 utvinnbar olje.	The appraisal well indicates that the size of the discovery is probably within the range of 3 – 5 million Sm3 of recoverable oil.
Det ble også i fjor arbeidet for å øke oljeutvinningen fra feltene på norsk sokkel for å opprettholde produksjonen i forhold til allerede godkjente planer.	Work was also done last year to improve oil recovery from the fields on the Norwegian shelf to maintain production in accordance with the approved plans.
Petro-Canada Norge AS	Petro-Canada Norge AS
Vi skal ikke eksportere en fiks ferdig modell til andre land i verden.	“We won’t be exporting a cut-and-dried model to other countries around the world.
Kontaktperson i Oljedirektoratet:	Contact in the Norwegian Petroleum Directorate:
Regnskapet viser en relativt god tilvekst fra letevirksomheten og en økning i brutto reserver.	The accounts show relatively good growth from exploration activity and an increase in gross reserves.
Brønn 8/5-1 er den første leitebrønnen i dette utvinningsløyvet.	Well 8/5-1 is the first exploration well in this production licence.
Reservoarkvaliteten i Heather-, Tarbert-, Etive-, Cookformasjonene og Statfjordgruppen er dårlig.	The reservoir quality in the Heather, Tarbert, Etive, Cook formations and Statfjord Group is poor.
"Operasjonen har vært vellykket til nå.	"The operation has been successful so far.
Utvinningsløyvet består av blokkene 6608/10 og 6608/11.	The production licence consists of blocks 6608/10 and 6608/11.
Hensikten med brønn 15/9-F-11 A var å avgrense utstrekningen av Volvefeltet i et segment mot nordvest.	The objective of well 15/9-F-11 A was to delineate the extent of the Volve field in a segment towards the northwest.
Hun har i en årrekke hatt ansvaret for uoppdagede ressurser, utforsking av nye områder, nye aktører på norsk sokkel og har arbeidet med tildelingsrunder.	For many years, she has been responsible for undiscovered resources, exploration of new areas, new players on the Norwegian shelf, as well as work with licence award rounds.
Innsamlingsprogrammet varer fram til 31. juli.	The acquisition program will last until 31 July.
Oljesoner ned til sju-åtte meter blir i dag produsert med horisontale brønner som ligger som flere tusen meter lange sugerør inn i den oljemettede sanden.	Oil zones as thin as seven-eight metres are presently produced using horizontal wells with several thousand metres of pipes suctioning oil from the saturated sands.
Brønnen blir bora om lag 100 kilometer sørvest for Florø og om lag 20 kilometer nordvest for Fram-feltet.	The well will be drilled about 100 km south-west of Florø and about 20 km north-west of the Fram field.
Fram H-Nord	Fram H-Nord
Brønnen er om lag 26 kilometer sørvest for feltinstallasjonen på Oseberg Sør i Nordsjøen.	The well is located approximately 26 kilometres southwest of the Oseberg Sør field installation in the North Sea.
44 av selskapene som er representert på norsk sokkel er medlemmer i Force.	44 of the companies represented on the Norwegian shelf are members of Force.
Det ble påvist olje i lavpermeable sandsteiner av sen jura alder.	Oil was proven in Late Jurassic sandstone with low permeability.
Martin Landrø er anerkjent internasjonalt for sine bidrag til utviklingen av 4D-seismikk.	Martin Landrø is internationally recognised for his contributions to the development of 4D seismic.
Den teknologiske utvikling går klart i retning av å flytte større deler av oppstrøms petroleumsvirksomhet fra kontinentalsokkelen til land.	The technological development is clearly progressing towards moving large parts of the upstream petroleum activities from the continental shelf to land.
Brønnbane 35/2-2 skal bores fra boreinnretningen Transocean Winner i posisjon 61º 52’ 36,2’’ Nord og 03º 24’ 51,0’’ Øst, etter avslutning av boring av undersøkelsesbrønnen 30/5-3 A for StatoilHydro Petroleum AS i utvinningstillatelse 309.	Wellbore 35/2-2 will be drilled from the Transocean Winner drilling facility at position 61° 52’ 36.2’’ North and 03° 24’ 51.0’’ East, after the facility completes drilling of wildcat well 15/6-10 A for StatoilHydro Petroleum AS in production licence 309.
Mai 2006	May 2006
Les mer om tidligere prisvinnere.pdf	Read more about previous winners.pdf
Brønnen påtraff om lag 95 meter tykk Ileformasjon, hvorav 70 meter er sandstein med gode reservoaregeskaper.	The well encountered about 95 metres of the Ile formation, of which 70 metres were sandstone with good reservoir properties.
Brønn 6407/2-4 ble boret av boreinnretningen Songa Delta på 269 meters havdyp.	Well 6407/2-4 was drilled by the Songa Delta drilling facility at a water depth of 269 metres.
Tilgjengelige data:	Data collection
Tema: Brønner | Utvinningstillatelser	Topics: Wells | Production Licences
(8. juli)	(8 July)
33 letebrønner er avsluttet.	33 exploration wells have been completed.
Prisvinneren får anledning til å presentere seg under ONS, og Oljedirektoratet vil presentere IOR-mål og problemstillinger.	The prize recipient will have the opportunity to present themselves during ONS and the Norwegian Petroleum Directorate will present IOR goals and challenges.
Riis er en sjelden geolog med like stor sans for matematikk og fysikk, planter og dyreliv som geologi.	Riis is a rare geologist whose interest in mathematics and physics, plants and animal life matches his passion for geology.
Derfor er kvalitet alfa og omega.	“That’s the be all and end all.”
Brønnen er boret på 342 meters havdyp til en total dybde av 2281 meter under havoverflaten og avsluttet i bergarter av sen trias alder.	The well was drilled in a sea depth of 342 meters to a total depth of 2281 meters under the sea surface in rocks of the Late Triassic Age.
Brønn 16/1-14 ble boret av boreinnretningen Transocean Winner som skal til utvinningstillatelse 409 i Nordsjøen for å bore undersøkelsesbrønn 16/7-9 der Lundin Norway er operatør.	Well 16/1-14 was drilled by the Transocean Winner drilling facility, which will now proceed to production licence 409 in the North Sea to drill wildcat well 16/7-9 where Lundin Norway is the operator.
Brønn 10/4-1 ble boret av boreinnretningen Borgland Dolphin som nå skal bore undersøkelsesbrønn 6507/3-11 S i utvinningstillatelse 650 i Norskehavet der E.ON E&P Norge AS er operatør.	Well 10/4-1 was drilled by the Borgland Dolphin drilling facility, which will now proceed to drill wildcat well 6507/3-11 S in production licence 650 in the Norwegian Sea, where E.ON E&P Norge AS is the operator.
Statoil ASA er operatør med ein del på 64 prosent.	Statoil ASA is the operator with an ownership interest of 64 per cent.
Væskeproduksjonen i april fordeler seg slik: 1 526 000 fat olje, 315 000 fat NGL og 77 000 fat kondensat i gjennomsnitt per dag.	The average daily liquid production in April was: 1 526 000 barrels of oil, 315 000 barrels of NGL and 77 000 barrels of condensate.
Gunnar Søiland koordinerer arbeidet for OD, og trekker inn andre når det er behov for det.	Gunnar Søiland coordinates the work for the NPD, and involves other parties when needed.
Forutsigbar tilgang til nytt leteareal gjennom TFO er også et viktig tiltak, mener Eriksen.	Predictable provision of new acreage through the APA rounds also makes an important contribution in this respect, Ms Eriksen believes.
Det har gjort at Russland i dag er verdens største gasseksportør og verdens nest største oljeeksportør.	According to the International Energy Agency (IEA), Russian oil and gas sales are also set to continue rising sharply.
Direktoratet har tidligere utført grunne boringer i Barentshavet, på havdyp mellom 300 og 400 meter.	“The Directorate has carried out shallow drilling in the Barents Sea before, at water depths between 300 and 400 metres.
Sistnevnte får også sitt eget seminar på arrangementet – Farouk-seminaret.	Al-Kasim will also have his own seminar at the event – the Farouk seminar.
Oljedirektoratets nye ledelse	The Norwegian Petroleum Directorate’s new management group
For å få ut alle verdiene, må næringen samarbeide om å utnytte infrastrukturen som finnes og ta tilgjengelig teknologi i bruk.	In order to extract all the values, the industry must cooperate on utilising the infrastructure that exists and use the available technology.
Oljeproduksjonen på norsk sokkel ligger 13 prosent under OD sin prognose for desember.	The total oil production on the Norwegian shelf is 13 per cent below the prognosis for December.
Sokkelkartet er populært.	The map can be downloaded or ordered here >>
Brønnene ble boret av boreinnretningen Transocean Winner, som nå skal til utvinningstillatelse 338 for å bore undersøkelsesbrønn 16/1-17 der Lundin Norway AS er operatør.	The wells were drilled by the Transocean Winner drilling facility, which will now proceed to production licence 338 to drill wildcat well 16/1-17, where Lundin Norway AS is the operator.
Brønnen er den andre letebrønnen i utvinningstillatelse 281.	The well is the second exploration well in production license 281.
Brønnen 16/1-23 S påtraff en total oljekolonne på 67 meter i konglomeratiske sandsteiner med moderat til god reservoarkvalitet.	The well 16/1-23 S encountered a total oil column of 67 metres in conglomorate sandstone with moderate to good reservoir quality.
Brønn 7120/8-4 ble boret til et totalt vertikalt dyp på 2674 meter under havoverflaten og ble avsluttet i bergarter fra sentrias.	Well 7120/8-4 was drilled to a total vertical depth of 2674 metres below the sea surface and was concluded in rocks from the Late Triassic Age.
Først ble det forsøkt testet en 50 meter sone 23 meter under den antatte gass/ olje kontakten, deretter i den ti meter tykke gassonen.	Attempts were first made to test a 50-metre zone 23 metres below the assumed gas/oil contact, then in the 10-metre thick gas zone.
Det pågår for tiden 12 feltutbyggingsprosjekt på norsk sokkel.	Twelve field developments are currently ongoing on the Norwegian shelf.
Det er utført omfattende datainnsamling og prøvetaking i begge reservoarsonene.	Extensive data acquisition and sampling have been carried out in both reservoir zones.
Brønnen er boret om lag 20 kilometer sørøst for funnet 7324/8-1(Wisting) i Barentshavet og 300 kilometer nord for Hammerfest.	The well was drilled approx. 20 kilometres southeast of the 7324/8-1(Wisting) discovery in the Barents Sea and 300 kilometres north of Hammerfest.
Tillatelsen ble tildelt i TFO 2010.	The licence was awarded in APA 2010.
Dei andre rettshavarane er Statoil Petroleum AS (40 prosent) og Idemitsu Petroleum Norge AS (30 prosent).	The other licensees are Statoil Petroleum AS (40 per cent) and Idemitsu Petroleum Norge AS (30 per cent).
Mærsk Giant kommer fra verkstedopphold i Danmark.	Mærsk Giant will be arriving from repairs in Denmark.
Bauge ble påvist i 2013 (brønn 6407/8-6).	Bauge was proven in 2013 (well 6407/8-6).
Brønn 10/4-1 skal borast frå boreinnretninga Borgland Dolphin i posisjon 57°40’20,08’’nord og 5°09’18,79’’ aust.	Well 10/4-1 will be drilled from the Borgland Dolphin drilling facility in position 57°40’20.08’’ north and 5°09’18.79’’ east.
Goliat, som ligger 50 kilometer sørøst for Snøhvitfeltet og 85 kilometer nordvest for Hammerfest, er det første oljefeltet i Barentshavet som planlegges bygget ut.	Goliat, which is situated 50 km southeast of the Snøhvit field and 85 km northwest of Hammerfest, is the first oil field planned for development in the Barents Sea.
Dette er den første letebrønnen i utvinningstillatelse 714.	This is the first exploration well in production licence 714.
Sekundært letemål var i reservoarbergarter i nedre jura (Statfjordformasjonen).	The secondary exploration target was Lower Jurassic reservoir rocks (Statfjord Formation).
Av dette utgjorde oljeproduksjonen rundt 123,0 millionar Sm3 o.e., kondensat og NGL rundt 17,0 millionar Sm3 o.e., og gass for sal rundt 51,7 millionar Sm3 o.e.	Oil production approx. 123.0 million Sm3 o.e., condensate and NGL about 17.0 million Sm3 o.e., and marketable gas about 51.7 million Sm3 o.e.
Brønn 35/11-18 skal borast frå boreinnretninga Borgland Dolphin i posisjon 61°09`24,40" nord og 03°20`38,09" aust etter avslutting av boring av undersøkingsbrønn 6507/3-11 S for E.ON E&P NORGE AS i utvinningsløyve 650.	Well 35/11-18 will be drilled from the Borgland Dolphin drilling facility in position 61°09`24.40" north and 03°20`38.09" east after concluding the drilling of wildcat well 6507/3-11 S for E.ON E&P NORGE AS in production licence 650.
Boreprogrammet for brønn 16/2-13 A gjeld boring av sidestegsbrønn i utvinningsløyve 501.	The drilling programme for well 16/2-13 A concerns the drilling of a sidetrack well in production licence 501.
Foto: Jan Inge Haga.	Photo: Jan Inge Haga.
Olje- og energiministeren innleder, og oljedirektør Bente Nyland vil presentere hovedresultatene fra rapporten.	The Minister of Petroleum and Energy will give an introduction, and Director General of the NPD, Bente Nyland, will present the key findings of the report.
Olje/vann-kontakten ble påtruffet både i primært og sekundært letemål.	Oil/water contact was established in both the primary and secondary exploration targets.
Rettighetshaverne i utvinningstillatelse 395 - Petoro AS: 20% - BG Norge AS: 30% - StatoilHydro ASA: 50%	The licensees in production licence 395: - Petoro AS: 20% - BG Norge AS: 30% - StatoilHydro ASA: 50%
Endelege produksjonstal for desember 2013 viser ein gjennomsnittleg dagsproduksjon på om lag 1,547 millionar fat olje, 0,393 millionar fat NGL og kondensat og totalt 10,2 GSm3 gass for sal.	Final production figures from December 2013 show an average daily production of about 1.547 million barrels of oil, 0.393 million barrels of NGL and condensate and a total of 10.2 billion Sm3 saleable gas production.
Dobler ressursanslaget for Barentshavet >>	Doubling the resource estimate for the Barents Sea >>
Utvinningsløyve 584 vart delt ut den 04.2.2011 (TFO 2010 på norsk sokkel).	Production licence 584 was awarded on 4 Feb. 2011 (APA 2010 on the Norwegian shelf).
OD vil med årets innsamling få et bedre grunnlag til å utføre en videre kartlegging av metallforekomstene med hensyn på utbredelse, kvalitet og ressursestimering.	In this year’s acquisition, the NPD will achieve a better foundation for conducting further mapping of the metal occurrences with regard to scope, quality and resource estimation.
Funnet ble påvist i september 2010 i øvre jura reservoarbergarter og flere brønner har nå avgrenset funnet.	The discovery was proven in September 2010 in Upper Jurassic reservoir rocks, and several wells have now delineated the discovery.
Brønn 16/2-8 ble boret av boreinnretningen Transocean Leader.	Well 16/2-8 was drilled by the Transocean Leader drilling facility.
Den prestisjetunge IOR-prisen (Improved Oil Recovery) er ODs anerkjennelse til utvinningstillatelser, selskaper, prosjekter eller enkeltpersoner som har skapt merverdi på norsk kontinentalsokkel gjennom nyskapende handlinger og planer knyttet til økt oljeutvinning.	The prestigious IOR prize (Improved Oil Recovery) is the NPD's way of recognising production licences, companies, projects or individuals that have created added value on the Norwegian continental shelf through innovative actions and plans linked to improved oil recovery.
Forces hovedfokusområder er forbedret leting (Improved exploration, IE) og forbedret olje- og gassutvinning (Improved oil and gas recovery, IOGR).	Force’s primary focus areas are improved exploration (IE) and improved oil and gas recovery (IOGR).
Brønnen er boret om lag 20 kilometer sørvest for Gjøafeltet i Nordsjøen og omlag 80 kilometer sørvest for Florø.	The well was drilled about 20 kilometres southwest of the Gjøa field in the North Sea and about 80 kilometres southwest of Florø.
Resultatene fra boringene, både årets, og tidligere grunne boringer, skal i framtiden gjøres tilgjengelig for industri og forskningsinstitusjoner.	The results from both this and previous years' shallow drilling activities will be made available to industry and research institutions later.
Selskapene på norsk sokkel arbeider kontinuerlig for å øke oljeutvinningen fra feltene ved hjelp av ulike tiltak.	The companies on the Norwegian shelf work continuously to improve oil recovery from the fields using various measures.
Fig 4 Avsluttede letebrønner boret i 2008 og 2009 fordelt på type og område	Fig. 4 Completed exploration wells drilled in 2008 and 2009 by area and type of well
Det ble også påtruffet 9 meter tykke sandsteiner i jura (Grytkollen), men olje eller gass ble ikke påvist her.	Nine-meter thick sandstones were also encountered in the Jurassic (Grytkollen), but no oil or gas was proven here.
Dette er den 13. letebrønnen i denne tillatelsen.	This is the 13th exploration well in this licence.
Den ene testen ga en maksimumsrate på 750 standard kubikkmeter (Sm3) olje per strømningsdøgn gjennom en 48/64 tommer dyseåpning fra et 14 meter sandsteinsintervall i øvre jura.	One test showed a maximum rate of 750 standard cubic metres (Sm3) of oil per flow day through a 48/64-inch nozzle opening from a 14-metre sandstone interval in the Upper Jurassic.
Hensikten med brønnen var å påvise petroleum i Lundeformasjonen i øvre trias reservoarbergarter i nedforkastet posisjon i forhold til Snorrefeltet.	The objective of the well was to prove petroleum in the Lunde formation in the Upper Triassic reservoir rocks in a downthrown position in relation to the Snorre field.
Boreprogrammet for brønn 34/6-3 S gjeld boring av undersøkingsbrønn i utvinningsløyve 554.	The drilling programme for wellbore 34/6-3 S relates to drilling of a wildcat well in production licence 554.
Avgrensningsbrønnen er boret om lag 5 km fra funnbrønnen.	The appraisal well was drilled about 5 km from the discovery well.
